Author/Name/Branch;CommitId
3b1b\manim\master; b31a174ac636ce4d098cb0a618d33ff55e0aff99
ageitgey\face_recognition\master; 6ede62f44b8962d9bbd02e3610b626d4fe24edeb
ansible\ansible\devel; 737da1853ef2239e27a2fe380c3e83ba5b34de5b
apache\airflow\master; 7577fef9e4d8cd442fbdb489de61cf05bf0e90c4
apachecn\AiLearning\master; f5290e298059ca805a0a5e6b00d8d396bf48d9c3
apachecn\awesome-algorithm\master; 2f6374fe070a4c36a5a43dad63b9d6832cb9a1c3
Avik-Jain\100-Days-Of-ML-Code\master; 4f65c768efab7d62f7b10300069a3c10ac42e785
binux\pyspider\master; 3fccfabe2b057b7a56d4a4c79dc0dd6cd2239fe9
bitcoinbook\bitcoinbook\develop; 98761d9d9204c6b97071765dc19a5061b93e823e
bokeh\bokeh\master; 030172161bf29116e3f0df40304ffe21d416ac85
celery\celery\master; f9638fa24110f0589c4f1372bf86e43d6ae1781f
certbot\certbot\master; 7d61e9ea56fffea2b6c49bce4f4b21af1cef28ab
chinese-poetry\chinese-poetry\master; 24b02b2dff19962a3e523d8538b1ccac3e8ec2c4
chubin\cheat.sh\master; 21a60cacc971c1e3ee67c45f93289cb663012092
cookiecutter\cookiecutter\master; db6893b26d591781d14f80f1b51ef83531719ad8
cool-RR\PySnooper\master; de4027c0eff322252d57eff90327546257f5ff08
d2l-ai\d2l-zh\master; a825be91f7f02230f92d3b3bc46173da9d02e9a2
deepfakes\faceswap\master; a757a4aa8894fbf43b4764e3961bcc853b16d592
django\django\master; febe136d4c3310ec8901abecca3ea5ba2be3952c
docker\compose\master; f9d1075a5da575cf7fd58d058fd4f4b402aff688
donnemartin\data-science-ipython-notebooks\master; 5b3c00d462c6e9200315afe46d0093948621eb95
donnemartin\interactive-coding-challenges\master; e0bde79ddd4e4283e422c089e816968ab124095c
donnemartin\system-design-primer\master; c65a721b41e79506656d8c6d0c1f9256606c0143
drduh\macOS-Security-and-Privacy-Guide\master; 3d575b78c7ebe6899844fd9f1ad30745febce1c2
encode\django-rest-framework\master; 7915485c0d94c1ca9ebe6606b78465fffe45acac
equinusocio\material-theme\master; e84fa79fc35dcbc6b3b64cc10e6c7e835f3de5e1
eriklindernoren\ML-From-Scratch\master; 40b52e4edf9485c4e479568f5a41501914fdc55c
explosion\spaCy\master; a54f0cfc2b2d7283e423696ccb33c8242df06594
fabric\fabric\2.0; e9939d68b734935f0c98d98817912ad7c698238f
facebookresearch\Detectron\master; a6a835f5b8208c45d0dce217ce9bbda915f44df7
faif\python-patterns\master; e13574bc73e016963237355c678f88b34406904f
fighting41love\funNLP\master; ec91653b78e4d656d4069c5272f6db3a77d7fb1b
floodsung\Deep-Learning-Papers-Reading-Roadmap\master; 98e3b45f2a03eff7c09b6fc603862466e0e2e56b
fxsjy\jieba\master; 38134ee20f6c69cc5bbf5c73518e6af1734ece25
geekcomputers\Python\master; f276f34a77579e552ca2adb3b5a3a1b0f3ebddee
getredash\redash\master; 261062d491876601f2153c8a14d1a42945d0b950
getsentry\sentry\master; da848379e61f8b501d4c76c6fbbcf66e4f14d012
google\python-fire\master; b6f6b3ab7d16799a7f32b1bc278280dde2b7ebf6
google-research\bert\master; 0fce551b55caabcfba52c61e18f34b541aef186a
home-assistant\home-assistant\dev; 32685f16bfa68b5d0f41177955978a5f47a1e76a
huge-success\sanic\master; 68d5039c5f36e4e7be75aa5ea893ecdc29ab38a0
huggingface\pytorch-transformers\master; 64fd98637629f371e3692a08017eb79458755cae
ipython\ipython\master; 5073312daa51b62aceb06626cf265d2da1836c7a
isocpp\CppCoreGuidelines\master; fbc9db56f0aa06eff8caa3bfc01ede7dbc7ca394
jakubroztocil\httpie\master; fd6e87914ca70f0825f47d226c1454e9a9a191bc
josephmisiti\awesome-machine-learning\master; 24bf2a02d9c3554eebf402d199cd87dbaf048f24
jwilder\nginx-proxy\master; 8c590fc68ffb0551cfa99875f1a8fd1cdf6a3e66
kennethreitz\requests\master; 4983a9bde39c6320aa4f3e34e50dac6e263dab6f
kennethreitz\requests-html\master; b6fec3ab252461f7ec107372270ae565d020f068
keon\algorithms\master; 68c2661ab7d3c8567a97263170f8abddc2a56da4
keras-team\keras\master; b78e3ff9263a6c3b28c869a73f74a1fbd6fd491c
kivy\kivy\master; 578f1dac931e17084f0f06fcea07ec2fcec2bff9
littlecodersh\ItChat\master; d5ce5db32ca15cef8eefa548a438a9fcc4502a6d
localstack\localstack\master; 9c5a37c5630d92108002b9167347fc3d39c0469e
locustio\locust\master; 4b1b304800ac8b6b87f2165bf934dad4e8eedbb4
luong-komorebi\Awesome-Linux-Software\master; d6f40dfcdf3e49ddf251f40ea15f7db5348a2063
machinelearningmindset\TensorFlow-Course\master; 44fcda292f2cc8bb727847351f725cff0bea0601
matplotlib\matplotlib\master; 8a9a9c1fd10e3d237245b141ea2f5f37aa30cb32
matterport\Mask_RCNN\master; 3deaec5d902d16e1daf56b62d5971d428dc920bc
minimaxir\big-list-of-naughty-strings\master; f56ff6ea82e6e020085bab73e3d1bd0e6c461ee8
Miserlou\Zappa\master; f3d403b8313e6f6545b8d22fc2715fd39a2be617
mitmproxy\mitmproxy\master; b5404f82daccee1491210888489192116d1476a0
nicolargo\glances\develop; 89cb007bdf4a70dbf373ef4891d6b97e4258dcb8
